year	month	res.price	res.sales.adj	com.price	com.sales.adj	EMXP	MXSD	TPCP	TSNW	EMXT	EMNT	MMXT	MMNT	MNTM	DT90	DX32	DT00	DT32	DP01	DP05	DP10	MDPT	VISIB	WDSP	MWSPD	GUST	HTDD	CLDD	LABOR	EMP	UNEMP	UNEMPRATE	PCINCOME	GSP
		cents/KWHr	GWHr	cents/KWHr	GWHr	inch	inch	inch	inch						days	days	days	days	days	days	days		miles	miles/hr	miles/hr	miles/hr						%	USD	million USD
1990	1	7.68	9204.26	6.74	5629.84	1.37	0	3.594	0	84.81	43.4	77.29	58.11	67.69	0	0	0	0	5	2.4	1.53	52.28	7.86	6.68	12.5	19.12	223.42	29.99	6382604	6016520	366084	5.7	29590.85	418825
1990	2	7.84	6760.42	6.67	5779.63	1.39	0	2.713	0	85.94	44.18	79	57.52	68.26	0	0	0	0.13	3.8	1.73	0.67	54.79	8.24	8.44	14.57	21.21	122.38	49.82	6410600	6041547	369053	5.8	29590.85	418825
1990	3	7.79	6375.71	6.65	5727.16	1.57	0	3.221	0	90.08	45.69	80.97	59.7	70.34	1.07	0	0	0	4.53	2.27	0.73	54.84	8.64	7.88	13.75	20.51	96.97	49.27	6433214	6061089	372125	5.8	29590.85	418825
1990	4	7.9	6356.13	6.73	5835.49	1.45	0	3.656	0	94.41	58.59	87.31	68.04	77.67	9.6	0	0	0	5.07	2.2	1.13	56.63	8.36	7.62	13.54	19.99	51.11	83.56	6449388	6073585	375803	5.8	29590.85	418825
1990	5	7.83	7481	6.67	6393.53	1.89	0	6.102	0	96.49	63.55	90.94	71.83	81.36	20.4	0	0	0	7.27	4.2	2.27	64.32	8.31	7.44	13.2	19.75	3.64	254.15	6460750	6080536	380214	5.9	29590.85	418825
1990	6	7.71	9534.48	6.6	6922.67	1.96	0	6.542	0	97.36	68.95	91.52	73.42	82.47	22.8	0	0	0	9.6	4.27	1.67	68.09	8.01	5.67	12.32	20.1	0	344.62	6469062	6083392	385670	6	29590.85	418825
1990	7	7.7	10304.87	6.59	7044.78	1.65	0	5.672	0	97	68.58	92.46	73.33	82.9	26.4	0	0	0	9.33	3.6	1.53	70.09	8.29	5.91	12.81	21.4	0	381.77	6477033	6084167	392866	6.1	29590.85	418825
1990	8	7.7	10824.75	6.57	7253.45	1.52	0	4.294	0	95.67	61.18	90.45	71.46	80.96	19.13	0	0	0	6.53	2.73	1.2	70.43	7.61	4.76	11.86	20.41	0	389.41	6485459	6083808	401651	6.2	29590.85	418825
1990	9	7.69	10527.1	6.61	7037.86	1.77	0	4.513	0	91.96	46.95	85.11	66.48	75.81	5.93	0	0	0	6.27	2.67	1.6	67.51	7.95	5.7	11.62	18.62	2.02	336.66	6492799	6081382	411417	6.3	29590.85	418825
1990	10	7.76	9707.97	6.65	6973.15	0.81	0	1.36	0	85.8	44.72	78.99	57.16	68.05	0.07	0	0	0.07	3.13	0.73	0.33	62.76	8.48	7.03	12.59	19.55	41.99	220.38	6497505	6075768	421737	6.5	29590.85	418825
1990	11	7.89	7593.31	6.71	6386.17	0.71	0	1.404	0	84.06	38.2	75.85	54.99	65.43	0	0	0	1.27	3.47	0.73	0.2	55.79	8.67	6.7	12.07	18.38	105.94	60.23	6500099	6068300	431799	6.6	29590.85	418825
1990	12	7.96	6913.65	6.82	5926.3	2.48	0	7.798	0	84.03	38.41	72.73	55.4	64.09	0	0	0	1.2	8.07	4.07	2.6	54.77	8.24	6.66	11.82	18.79	192.46	40.24	6501640	6060234	441406	6.8	29590.85	418825
1991	1	8.18	7278.99	6.99	5849.44	0.73	0	1.589	0	84.45	31.35	73.38	53.19	63.27	0	0	0	1.27	3.2	1.13	0.33	54.21	7.6	6.84	12.35	19.24	231.14	37.19	6503384	6052024	451360	6.9	29026.15	421103
1991	2	8.24	6929.07	7.15	5495.58	2.3	0	5.985	0	88.56	39.25	77.72	57.66	67.64	0.27	0	0	0.27	6.07	3.33	1.87	49.28	8.49	7.61	13.39	20.5	200.23	18.94	6507630	6045622	462008	7.1	29026.15	421103
1991	3	8.23	6993.21	7.13	5590.15	1.85	0	5.533	0	91.92	50.59	83.55	65.55	74.59	3	0	0	0	7.33	3.93	2	54.25	7.93	8.5	14.87	21.65	127.82	61.45	6513776	6041212	472564	7.3	29026.15	421103
1991	4	7.97	6943.19	6.8	5940.26	2.6	0	7.688	0	92.28	64.39	87.21	71.02	79.12	7.87	0	0	0	9.4	4.33	2.67	62.3	8.25	7.43	13.78	21.08	18.51	149.24	6520647	6038949	481698	7.4	29026.15	421103
1991	5	7.85	8529.25	6.71	6556.86	1.98	0	7.31	0	94.66	65.66	89.56	71.86	80.72	17	0	0	0	10.67	5.13	2.07	66.95	8.34	7.02	13.01	20.53	0.1	276.81	6527666	6038775	488891	7.5	29026.15	421103
1991	6	7.8	9472.98	6.64	6887.48	2.42	0	9.969	0	95.18	70.4	90.87	73.99	82.41	22.6	0	0	0	14.67	6.4	2.87	69.12	8.48	5.51	11.95	20.29	0.1	315.6	6534353	6040389	493964	7.6	29026.15	421103
1991	7	7.78	10247.21	6.63	6996.54	1.64	0	6.198	0	95.05	69.48	90.97	74.01	82.48	22.47	0	0	0	10.8	4.53	1.67	71.69	8.23	4.96	12.38	22.21	0	363.82	6540152	6042600	497552	7.6	29026.15	421103
1991	8	7.72	10831.78	6.58	7282.01	1.74	0	5.2	0	94.65	62.59	89.48	71.78	80.64	15.33	0	0	0	7.93	3.13	1.47	71.61	8.5	4.91	11.48	20.4	0.15	371.49	6545644	6044199	501445	7.7	29026.15	421103
1991	9	7.72	10673.87	6.57	7208.96	2.58	0	6.891	0	89.86	50.14	83.4	65.16	74.3	1.87	0	0	0	7.6	3.33	2.13	69.11	8.23	5.58	11.43	20.22	2.08	306.44	6552376	6044477	507899	7.8	29026.15	421103
1991	10	7.84	8924.21	6.67	6803.61	0.7	0	1.578	0	84.87	38.68	74.73	54.54	64.64	0	0	0	1.73	3.27	1	0.33	62.72	8.39	6.61	12.11	18.65	27.64	158.5	6560638	6042830	517808	7.9	29026.15	421103
1991	11	7.98	7412.55	6.73	6362.82	0.62	0	1.114	0	84.14	38.97	73.87	54.1	63.98	0	0	0	1.2	2.87	0.6	0.13	51.49	8.28	7.14	12.27	18.84	217.48	44.68	6570531	6040246	530285	8.1	29026.15	421103
1991	12	7.95	7347.36	6.82	5936.32	1.37	0	3.421	0	79.99	32.36	68.61	48.4	58.53	0	0	0	3.2	4.67	2.53	1.07	52.55	8.14	6.61	11.89	19.24	226.21	32.95	6581238	6038427	542811	8.2	29026.15	421103
1992	1	7.98	7983.37	6.89	5697.86	1.33	0	3.616	0	83.12	38.72	72.97	53.61	63.26	0	0	0	0.8	5.4	2.93	1.27	46.58	8.06	7.08	12.58	19.36	363.54	8.09	6592915	6040288	552627	8.4	29353.76	436843
1992	2	7.87	7816.81	6.82	5486.88	1.58	0	3.402	0	84.94	41.47	75.66	54.52	65.11	0	0	0	0.13	4.8	2	1.13	51.88	7.87	7.07	12.93	19.91	227.98	21.22	6605662	6047093	558569	8.5	29353.76	436843
1992	3	7.94	6798.93	6.74	5723.7	1.44	0	3.076	0	88.02	44.06	78.84	59.08	68.96	0.2	0	0	0.07	4.53	1.73	0.87	51.53	8.25	7.31	13.14	19.95	168.55	30.84	6620358	6059509	560849	8.5	29353.76	436843
1992	4	7.8	6561.01	6.64	5750.27	0.97	0	1.943	0	91.41	47.84	84.76	63.01	73.88	3.6	0	0	0	3.67	1.07	0.47	56	8.19	7.6	13.62	20.62	89.9	68.88	6637586	6076331	561255	8.5	29353.76	436843
1992	5	7.79	6914.85	6.58	6092.29	2.36	0	11.588	0	94.17	66.86	88.96	72.15	80.58	14.47	0	0	0	14.2	7.4	3.8	60.19	8.04	6.78	12.67	18.61	23.29	153.48	6654303	6093551	560752	8.4	29353.76	436843
1992	6	7.65	8858.12	6.46	6815.19	1.23	0	3.802	0	96.68	69.97	92.23	74.23	83.25	26.67	0	0	0	7.53	2.33	1.07	70.2	8.12	6.17	13.25	21.75	0	305.6	6667987	6108594	559393	8.4	29353.76	436843
